时间,标题,内容,记者
2021年11月12日,"
VOA连线(李逸华): 美国会议员代表团结束为期三天访台行程
",两岸关系持续紧张之际，多位美国国会参众两院成员这个星期对台湾展开为期三天的访问。此次美国国会代表团的造访有别于以往，格外的低调，行程也保密到家。, 李逸华
2021年11月12日,"
VOA连线(李逸华): 美国会议员代表团结束为期三天访台行程
",两岸关系持续紧张之际，多位美国国会参众两院成员这个星期对台湾展开为期三天的访问。此次美国国会代表团的造访有别于以往，格外的低调，行程也保密到家。,
2021年11月12日,"
VOA卫视美国观察 拜登与习近平可能下周一举行视频峰会；美国会议员代表团结束三天访台行程；专访共和党联邦众议员坦尼：美国该重新审视一中政策
",在外界关注美中领导人视频峰会之际，有报道说，2022年北京冬季奥运会的问题可能对拜登构成挑战；两岸关系持续紧张之际，多位美国国会参众两院成员这个星期对台湾展开为期三天的访问；美国共和党联邦众议员克劳迪娅.坦尼日前接受美国之音专访表示，她不希望台湾变成另一个香港，现在是时候重新审视美国的一中政策。,
2021年11月12日,"
美国观察(2021年11月12日)
",在外界关注美中领导人视频峰会之际，有报道说，2022年北京冬季奥运会的问题可能对拜登构成挑战；两岸关系持续紧张之际，多位美国国会参众两院成员这个星期对台湾展开为期三天的访问；美国共和党联邦众议员克劳迪娅.坦尼日前接受美国之音专访表示，她不希望台湾变成另一个香港，现在是时候重新审视美国的一中政策。,
2021年11月11日,"
中国拍片自我设限 台湾影视业趁势崛起
",中国的影视产业近年来日益排外，除了越来越不欢迎欧美影业的创意外，在创作内容上也自我受限，这让不少想发掘... 林姓编剧目前正和长期横跨两岸的知名导演合作新剧... 她说，这几年两岸关系恶化对台湾影视业的冲击也很大... 对此，林姓编剧说，两岸政治分歧让艺人深陷风暴的事未来只会更多... 在中国对外关系紧张，国内影视内需市场也够大的前提下，中国产制的电影越来越面向国内观众，无法引起国际共鸣... , 顾展珑
2021年11月11日,"
新西兰官员称CPTPP对中国与台湾加入保持开放，但新成员须符合现行高标准
",新西兰官员说，CPTPP一向欢迎新成员加入，不过申请者最终还是必须... 台海两岸关系发生重大错误的风险是真实的，许多战争都是由于紧张，有一方或另一方做出可怕的误判而开始... 除了日本越来越公开表达对台湾的支持外，王晓岷说，加拿大、澳大利亚与中国的关系也不佳，而越南近年来与台湾的关系强劲，他在胡志明市就亲眼见到台商在那里有巨大投资，“如果你去看看这8个成员国的组成，我... , 锺辰芳
2021年11月10日,"
两岸关系“脆弱” 达赖喇嘛称现时不考虑访问台湾
",西藏精神领袖达赖喇嘛说，由于台海局势紧张，现时他不会考虑访问台湾... 达赖喇嘛星期三（2021年11月10日）在印度达兰萨拉通过视讯接受日本外国记者俱乐部组织的集体采访时被问到他何时会访问台湾... 他说，鉴于现时两岸关系“相当脆弱”(delicate)，他不便访问台湾，以免造成当地的政治困境... 这位备受尊重的宗教领袖说，他可以利用现代通信技术，以视讯等方式与台湾的兄弟姐妹... , 黎堡
2021年11月10日,"
达赖喇嘛因两岸关系脆弱不考虑访台
",西藏精神领袖达赖喇嘛11日在印度达兰萨拉通过视讯参加日本外国记者俱乐部的访谈时说，现在台湾和中国的关系“相当脆弱”，他现在更愿意留在印度过平静的生活并通过现代科技与外界交流。86岁的达赖喇嘛说他现在没有具体的计划与中国国家主席习近平会面。,
2021年11月9日,"
台湾2021年国防报告：中国操作灰色地带威胁 企图“不战夺台”
",台湾国防部周二(11月9日)发表... 除了常态化的武吓，该报告书也首度增列章节，阐述中共操作“灰色地带”战略，企图用非军事手段之威胁，来改变或挑战两岸既有现状，以达“不战夺台”的目标... 军事专家、位于台北的《亚太防务》杂志总编辑郑继文在接受美国之音采访时表示，“灰色地带”威胁反映了过去两年两岸之间呈现的新型态冲突，而且中国有效地运用这类冲突，成为对台施压的重要环节... , 杨安
2021年11月9日,"
美国防部：中国“核三角”成型与美俄看齐 料两年内不会轻易对台动武
","美国国防部的报告认为，中国正快速扩张核力量，预测中国在十年内可能拥有至少1000枚核弹头，并估计中国可能已建立结合海陆空三种核导弹打击能力的“核三角... 美军参谋长联席会议主席米利则相信，北京两年内不会轻易对台湾动武... 美国防部：中国“核三角”成型与美俄看齐 料两年内不会轻易对台动武
美国国防部11月3日向国会呈交有关中国军事与安全发展近二百页的年度报告... ", 高锋
2021年11月9日,"
军事专家：尽管中国核打击能力锐增 但美中爆发军事冲突可能极低
","美国五角大楼发表的最新中国军力年度报告说，中国军队正在加快核武器的扩张，引发舆论和华盛顿政圈的高度关注... 熟悉美中军事事务的专家说，尽管中国... 拜登说，他已经向中国国家主席习近平明确表示，美中之间的关系是“竞争”，而不是“冲突... 对台战略模糊政策是否应继续
自从华盛顿与北京在40多年前实现双边关系正常化以来，美国在处理台湾问题时一直采取的是战略模糊的战略... ", 林森
2021年11月9日,"
因应台海不测事件，日本拟在与那国岛部署电子战部队
",日本防卫省决定在冲绳县与那国岛现有的陆上自卫队驻屯地增加部署编制约70人的“电子战部队”，以便在台湾海峡与尖阁诸岛（中国称钓鱼岛）出现紧迫情势时，加强情报收集能力... 防卫省将2023年底设定为完成部署的目标日期... 台湾自由时报引述日本冲绳时报的报道说，防卫省在2022年度的预算概算要求中编列了约31亿日元（约合2739万美元），在与那国岛建造电子战部队的办公室和... , 松仁
2021年11月8日,"
疑为中共挖墙脚 台湾喊停清华海峡研究院在台运作
",中国“清华海峡研究院”被怀疑为中共机构在台搞渗透、帮助... 据台湾《自由时报》报道，该研究院于2016年通过自强工业科学基金会向台湾清华大学承租校内办公场所，设立“清华海峡研究院新竹办公室”，并成立“两岸产业促进中心... 台湾《两岸人民关系条例》有关条款规定：“大陆地区之非营利法人、团体或其他机构，非经各该主管机关许可，不得在台湾地区设立办事处或分支机构，从事业务活动... , 美国之音
2021年11月6日,"
中共拟制裁台湾三高官 台湾反斥不接受专制威权恫吓威胁
",陆委会发表书面声明表示，台湾是民主法治社会，更非对岸管辖，如果对岸不顾两岸关系、意图破坏台湾的民主自由、制造对立不安，台湾政府将采取必要反制作为，以保障民众安全福祉，中共则必须要为... 陆委会强调，中共近期除了对台武力威胁、升高情势紧张，又操作所谓清单等破坏两岸关系，这种企图制造寒蝉效应的恶劣与不友善行径，终极目标就在打击与其立场相左人士向其政治主张屈服，早已引发... , 美国之音
2021年11月6日,"
台湾将拥全球最多F-16V型战机，苏贞昌称希望和平不要战争
",去年8月，与北京关系严重恶化的特朗普政府不甩北京的抗议，宣布以80亿美元的价码，向台湾出售66架最新型的F-16V型战机，并从2023年起开始交付，至2026年交付完毕... 台湾国民党籍立委孔文吉星期五在立法院质询行政院长苏贞昌，两岸关系目前是和平、紧张、严峻或是准战争状态... , 松仁
2021年11月5日,"
中国扬言终身追究台独“顽固分子”刑责 苏贞昌：以此为荣
",中国方面星期五（11月5日）表示，国台办列出“台独顽固分子”清单，会“终身”追究名单上人员的刑事责任... 被点名的台湾行政院长苏贞昌随即... 美国国务卿布林肯在20国集团峰会期间与中国国务委员兼外交部长王毅会谈时表示，华盛顿反对北京任何单方面改变台海现状、加剧两岸紧张关系的举动... 王毅则表示，台湾问题是中美之间最敏感的问题，如果处理失误将对中美关系造成“颠覆性、全局性破坏... , 美国之音
2021年11月4日,"
台湾国安局长：台湾不可能在武力胁迫下与北京谈判
",近年来，随着两岸关系的恶化，解放军新型战机和战舰不停侵扰台湾周边海空域，针对台湾的军事恫吓和压力也越来越大... 陈明通在担任国安局长之前，曾经担任台湾行政院大陆委员会主委，因此非常熟悉两岸情势和事务... 陈明通10月20日在立法院回答立委质询时曾表示，虽然台海紧张情势急剧升高，两岸在一年内发生战争的机率很低，但就怕有例如新冠疫情等突发事件，所以台湾要密切注意... , 松仁
