字段1_文本,字段3
“习拜会”对中美关系意味着什么,在习近平和拜登礼节性对话的表面下，大量分歧仍然难解。会后未发表联合公报，也未达成任何协议。会晤基调表明拜登政府仍将中国视为其最大地缘政治挑战。
重启中美关系,奥巴马与习近平应利用这次会晤消除彼此的疑心，坦率讨论气候变化、恐怖主义、朝鲜核武、双边投资及军事合作，就两国的全球责任与影响力达成共识。
新国安法将如何影响中美关系？,北京的立法计划在美国国会引发愤怒和更多制裁呼吁，可能对早已陷入困境的中美关系造成更大损害。特朗普也可能被迫就是否要维持他与习近平的友好关系做出艰难决定。
拜登时代中美关系恐难获根本性改善,预计拜登政府会改变特朗普的尖锐言辞，但不太可能会很快改变对抗性政策。没有中国的重大让步，紧张关系将持续下去，甚至可能在技术和人权等问题上升级。
习近平为中美关系加入个人色彩,美国国务卿及财长本周访华，并举行中美战略与经济对话。中美所抱预期都不高，最有希望的似是一项双边投资协定。习近平对重大问题亲自拍板，为中美关系带来新变数。
新冠疫情对中美关系有何影响？,鹰派主导了华盛顿的对话，批评北京在处理疫情时缺乏公开透明，呼吁与中国更彻底地决裂。虽然特朗普仍在赞扬习近平，但两国间的不信任与分歧已日益加剧。
简报：拜登对台政策前瞻；傅莹在时报刊文谈中美关系,教宗方济各指新疆维吾尔人“受迫害”，遭中国抗议；特朗普政府考虑对中国施加更多限制；拜登团队开启过渡程序，美股飙至新高……这里是今日要闻。
习近平将访问朝鲜，中美关系走向耐人寻味,这是中国领导人14年来首次出访朝鲜，随后习近平可能在G20峰会与特朗普会面。通过此次访问，习近平预计将介入美朝谈判，可能导致他与特朗普关系紧张。
中美关系恶化危及全球对抗气候变化,在气候灾难风险上升之时，中美这两个世界上最大的碳排放国陷入了强烈的互相怀疑，可能阻碍全球应对气候变化的行动。中国是否会保持减排雄心成为未来关键问题。
美国前财长：即使达成贸易协议，中美关系可能只会更糟,保尔森警告说，两国之间的敌意已将军事视角和思想并入经济政策，并正在以国家安全的名义制造技术标准上的分裂。他还强调了中国抛售美国国债的可能性和后果。
从“尊敬”到“病态扭曲”：新冠疫情如何重创中美关系,围绕大流行应对的冲突和互相指责，正在贸易、科技、间谍活动等领域引发更多紧张和对立。随着特朗普把与北京的竞争作为竞选连任的主题，中美争端可能加剧。
李克强谈中美关系，释放乐观信号,李克强的表态似乎在为习近平和特朗普的首次会晤奠定乐观基调。他认为双方能够克服贸易、货币政策、东亚局势等方面的分歧，同时强调“一中”政策是两国关系的政治基础。
特朗普致信习近平：期待建设性中美关系,信的日期是周三，特朗普向中国人表达了农历新年祝福，被认为是白宫发出的又一善意信号。特朗普及其团队此前有关中国的言论曾使人担心中美将爆发冲突。
特朗普给中美关系注入高风险,特朗普退出奥巴马主导的太平洋贸易协定，这固然给中国带来机遇，但也意味着特朗普可能在其他针对中国的问题上说到做到，增加中美发生摩擦的可能性。
个性迥异的习近平和特朗普，让中美关系更难预测,特朗普喧闹、喜欢即兴发挥，习近平则有城府、言行谨慎。潜航器事件已经让人初步看到，两人对比鲜明的迥异风格将给中美关系注入新的不可预测性。
北京的“捐赠外交”加剧中美关系紧张,危机期间两国仍在争夺全球领导角色。中国出台了新的医疗物资出口监管规定，导致发货意外延迟。一些美国官员则不愿接受捐赠，担心这将有助于中共的宣传。
骆家辉卸任讲话兼顾中美关系喜忧,周二，骆家辉在新闻发布会上赞扬了中美不断加强的经济联系，也称中国亟待提高政府透明度，自由表达的权利及改善人权状况。同时，他呼吁两国联手治理雾霾。
中国官媒评美国信息监控事件，称或损及中美关系,经过几天的沉默，中国官媒开始小心地评论美国政府被曝秘密监控网络和电话信息一事。事件的核心人物斯诺登现身香港，也可能为中美关系增加变数。
Facebook对防火长城，中美关系的挑战,中美借“习奥会”向世界传达了希望积极合作的信号。然而令这两个大国难以相互信任并合作的，不是经济、安全，也不是黑客问题。制度的差异会继续带来不安感，在中国尤其如此。中美真能超越意识形态成为伙伴吗？
费城交响乐团，中美关系的一个注脚,就在习近平访美的前一天，费城交响乐团开启了他们访华40周年的纪念活动。这个肩负着中美关系外交使命的乐团，如今与中国最密切的联系是商业利益。
彭斯谈中美关系，批评美国公司为利益向中国屈服,彭斯称，美国公司在与中国做生意时应坚持美国价值观，而不是压制支持民主自由的言论。但他也就贸易谈判发出积极信号，表示美国不寻求与中国经济“脱钩”。
简报：拜登如何影响中美关系；辉瑞称疫苗有效性达九成,美国国防部长被解雇；上海浦东机场一货运工人确诊新冠；世界卫生大会在线召开，台湾未获邀；违规使用学生工，和硕被苹果暂停合作……这里是今日要闻。
简报：聚焦中国非洲猪瘟疫情；华人“川粉”谈中美关系,ISIS宣称对斯里兰卡连环爆炸案负责；新西兰向清真寺枪击案受害者提供永居签证；谷歌员工称因参与组织罢工遭公司报复……NYT简报带你速览今日要闻。
中美关系急剧恶化，美国驻华大使布兰斯塔德卸任,布兰斯塔德曾两度出任爱荷华州州长，是特朗普2016年竞选早期重要的支持者。他曾希望利用与习近平的私人关系推进两国关系，但其任期内中美紧张不断加剧。
美国卫生部长将访台，恐致中美关系进一步恶化,阿扎将是1979年美台断交以来访台级别最高的美国官员。美方在声明中赞扬了台湾的抗疫成果，并表示愿意加强美台合作。此举很可能会进一步加剧中美关系恶化。
早报：中美关系继续恶化；多国再遭网络攻击,美国务院将中国列为世界上贩卖人口问题最严重的国家；习近平将访港，安保严密；李克强宣扬自由贸易；欧盟对谷歌处以27亿美元罚款……新闻早报带你速览今日要闻。
