字段2,字段3
"
四年来被禁止离开中国的美国公民回国
",美国国务院向美国之音证实，一名四年多来被禁止离开中国的美国公民已经返回美国... 这次获释发生在美国总统拜登和中国国家主席习近平周一... 目前尚不清楚这些被驱逐出境的人中有多少人在中国也面临指控... 美国国务院发言人在一份声明中说：“11月12日星期五，美国移民和海关执法局空中行动部将七名被判犯有各种罪行的中国公民驱逐至中华人民共和国，我们欢迎中华人民共和国接受这架遣返航班... 
"
美中有关放松记者签证限制的协议受到批评
",美国和中国本星期同意彼此放松对驻本国对方记者的限制，不过这项协议受到了批评... 批评人士说，协议在处理中国打压新闻自由的问题方面做得不够... 总部在纽约市的新闻自由组织... 国务院随后把这五家新闻机构获准同时在美工作的中国雇员人数从160人削减到100人，并把他们的签证居留期从一年减少到90天... 2021年，无国界记者(RSF)的新闻自由指数把中国列为180个国家中的第177位... 
"
拜登表示正在考虑对北京冬奥会进行外交抵制 有议员呼吁全面抵制
",此前，消息人士说，由于美中首脑峰会已经结束，拜登政府预计会很快宣布是否对冬奥会进行外交抵制的决定... 参议院外交关系委员会两党领袖今年稍早率领多位成员也推出过类似修正案，将禁止国务卿将联邦资金用于为美国政府雇员参加北京冬奥会提供“支持或便利... 该修正案包含在已于今年6月获得参议院通过的《美国创新与竞争法案》中... 
"
美国议员推动让台湾参与国际刑警组织
",美国国会众议员约翰·科蒂斯(John Curtis)表示，在他的牵头下，70多位来自民主与共和两党的美国议员正在推动让国际刑警组织(Interpol)接纳台湾... 来自犹他州的共和党众议员科蒂斯星期四... 科蒂斯众议员在声明中说：“台湾理应有与美国和其他民主伙伴共事的席位，以根除国际刑警组织的腐败和滥权... 美联社星期四发表了对高歌的 采访 ，她在采访中称中国政府是“魔鬼
"
美中等多国考虑联合释放石油储备，为油价上涨降温
",路透社报道说，包括美国与中国在内的一些世界主要经济体星期四（11月18日）表示，各国正在考虑释放战略石油储备... 在这之前，美国发出了一次罕见的请求，希望各国在石油输出国组织及其产油盟友... 路透社报道说，在世界正从新冠疫情中复原之际，美国政府对石油输出国组织与俄罗斯等产油国家拒绝美国加速石油供应的要求感到不满，汽油价格的上涨也让美国总统拜登在明年中期选举前感受到政治... 
"
拜习会台湾议题激烈攻防互不退让，专家称北京因双重沮丧警告美台
",美国总统拜登与中国国家主席习近平星期一(11月15日... 中国外交部发言人赵立坚星期三在例行记者会上被问到拜登这段讲话时回应说，他要强调的是，美方应该遵守的是一个中国原则和美中三个联合公报，“所谓‘与台湾关系法’也好，对台‘六项保证’也好，这些纯粹是美国内一些势力炮制出来的，都与中美三个联合公报背道而驰，其实质是将美国的国内法凌驾于国际义务之上，是非法和无效的... 
"
日本首相人权事务辅佐官: 中国人权问题不容忽视
",他说：“中谷元应该清楚知道，自己被岸田文雄首相任命担任国际人权问题辅佐官的原因，即在强化日本防卫与安全保障的同时，最重要的是以国际人权法的基本基准，处理相关的国际关系，特别是中国的维吾尔族自治区的教育营与香港国安法实施的问题... 前日本外相茂木敏充一直对与中国的关系持谨慎态度，这次新任外相林芳正曾经长期担任日中友好议员联盟的会长，与中国有着非常密切的关系... 
"
对抗“自由世界的乌云”！美两党议员呼吁各国加入抵制北京冬奥
","距离2022年北京主办冬季奥运会剩下不到三个月的时间，美国国会... 共和党联邦众议员史密斯（Rep. Chris Smith, R-NJ）在星期三的听证会上批评了美国企业在对抗中国人权侵犯和协助中国科技威权主义发展过程中所扮演角色... “美国公司很容易不知不觉中成为（中国科技威权主义）合作伙伴，例如透过云计算、摄像机和人工智能监控技术等，”默克利在接受美国之音采访时说... "
"
美防长：中国测试高超音速导弹引起“关切”
","美国国防部长劳埃德·奥斯汀(Lloyd Austin)说，中国今夏的高超音速导弹试验引起人们“关切”北京不断增加的能力，但是他说，他不会把它与俄罗斯1950年代发射... 俄罗斯-乌克兰紧张关系
在星期三举行的这次五角大楼记者会的早些时候，奥斯汀呼吁俄罗斯就陈兵乌克兰边界一事拿出更大的透明度... 俄罗斯在乌克兰附近增兵加剧了莫斯科今年早些时候与西方的紧张关系... "
"
拜习会后 美中根本性争议性质未变
",威尔逊国际学者中心基辛格中美关系研究所主任戴博说，“峰会就像一对接受咨商的夫妇，双方都没有真正试图修复或改变婚姻，而是试图说服辅导员站在他或她的一边并联合起来反对另一边... 拜登表示，美国仍然致力于“一个中国”政策，但强烈反对单方面... 威尔逊国际学者中心基辛格中美关系研究所主任戴博说，“这不仅和中国有关，当然，也和欧洲日益增长的威权主义有关，但这会被中国视为眼中钉... 
